epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.7552,2.21759,5.41565,4.30586,2.35303,0.16121,0.03774,0.03733,0.01024,0.00286,0.11321,0.0017,0.0006,2.74012,6.00053,4.41778,3.06831,4e-05,4e-05,4e-05
2,5.64958,2.33848,5.68207,3.76559,2.35688,0.12899,0.03774,0.03257,0.01061,0.00381,0.15094,0.00237,0.00082,2.71529,5.89776,4.39949,3.0734,9.9505e-05,9.9505e-05,9.9505e-05
3,7.43517,1.91378,4.96018,3.71596,2.12145,0.07387,0.18213,0.06853,0.03115,0.03879,0.09434,0.02337,0.00705,1.34274,4.83549,11.7708,1.71057,0.000158416,0.000158416,0.000158416
4,10.6173,1.70737,3.94272,2.52683,1.88357,0.5,0.32075,0.37715,0.21985,0.11765,0.07547,0.02922,0.00759,1.46507,6.30814,24.1114,1.81935,0.000216733,0.000216733,0.000216733
5,12.6549,1.2537,3.34831,2.00513,1.47272,0.2139,0.71698,0.27963,0.13092,0.06756,0.30189,0.03226,0.00786,1.57286,10.5785,12.7068,1.95442,0.000274456,0.000274456,0.000274456
6,14.6332,1.07851,2.7265,1.79427,1.32094,0.26099,0.35849,0.1993,0.08016,0.06085,0.24528,0.02419,0.0047,1.99564,6.73286,4.09015,2.36575,0.000331585,0.000331585,0.000331585
7,16.5352,1.13299,3.04219,1.7974,1.41763,0.39616,0.56604,0.41112,0.1872,0.14443,0.24528,0.06042,0.00936,1.58317,10.5487,4.74116,2.18056,0.00038812,0.00038812,0.00038812
8,18.5229,1.31544,3.56061,1.70299,1.4891,0.35692,0.81132,0.46938,0.2274,0.06382,0.24528,0.02545,0.00371,1.4495,12.9412,4.30125,1.96199,0.000444061,0.000444061,0.000444061
9,20.5348,1.0036,2.64947,1.3933,1.25937,0.20218,0.20755,0.08872,0.04044,0.10867,0.11321,0.02806,0.00556,2.45659,8.243,4.83242,2.68992,0.000499408,0.000499408,0.000499408
10,22.6536,1.10493,2.87846,1.40264,1.35984,0.32833,0.16981,0.10521,0.04686,0.10889,0.0566,0.01048,0.00453,2.98276,11.2282,4.30485,3.11142,0.000554161,0.000554161,0.000554161
11,25.2743,1.15819,2.84515,1.34257,1.38837,0.08243,0.09434,0.02537,0.00948,0.03594,0.03774,0.0027,0.00041,3.12811,13.3888,4.94398,3.56044,0.00060832,0.00060832,0.00060832
12,27.3364,1.10735,2.72239,1.30314,1.29552,0.05884,0.07547,0.01205,0.00465,0.01484,0.01887,0.00152,0.00028,3.25003,18.8503,5.58452,3.77624,0.000661885,0.000661885,0.000661885
13,29.4226,1.09784,2.80708,1.23734,1.28666,0.17551,0.16981,0.1074,0.0253,0.12732,0.01887,0.00345,0.00037,3.38612,24.8151,3.89859,3.77855,0.000714856,0.000714856,0.000714856
14,31.4576,1.11586,2.8934,1.2889,1.29574,0.40355,0.29374,0.2499,0.11721,0.16508,0.09434,0.02529,0.00525,2.42606,20.2302,2.90286,3.1863,0.000767233,0.000767233,0.000767233
15,33.3715,1.03889,2.49699,1.17505,1.26311,0.40355,0.29374,0.2499,0.11721,0.16508,0.09434,0.02529,0.00525,2.42606,20.2302,2.90286,3.1863,0.000819016,0.000819016,0.000819016
